Date,Vendor,Invoice total,Paid in year,Outstanding,Schedule E line,Category,Property,Repair or improvement,Cost treatment,Job,Contractor,Receipt on file,Entered by,Notes,Recorded at
2025-01-01,Sulekha Roommates,89.10,89.10,0.00,5,Advertising,Kettlewell,repair,operating,,,No,Owner,A receipt reference is recorded in the source workbook.,2026-08-03T12:22:59.834Z
2025-01-06,Cleaning services,430.00,430.00,0.00,7,Cleaning and maintenance,Westmill,repair,operating,,,No,Owner,ZELLE TO ALEXANDRA ON 01/04 [removed] THANK YOU FOR THE CLEANING Receipt reference: Zelle.,2026-08-03T12:22:59.834Z
2025-01-15,Sherwin-Williams,988.95,988.95,0.00,19,Other,Westmill,needs_review,operating,,,No,Owner,Workbook Schedule E column said: Needs review. A receipt reference is recorded in the source workbook.,2026-08-03T12:22:59.834Z
2025-01-19,Amazon.com,158.94,158.94,0.00,15,Supplies,Westmill,repair,operating,,,No,Owner,A receipt reference is recorded in the source workbook.,2026-08-03T12:22:59.834Z
2025-01-19,Amazon.com,185.11,185.11,0.00,15,Supplies,Westmill,repair,operating,,,No,Owner,A receipt reference is recorded in the source workbook.,2026-08-03T12:22:59.834Z
2025-01-21,Big Alz Moving n Handyman Service LLC,740.00,740.00,0.00,14,Repairs,Kettlewell,repair,operating,,,No,Owner,Receipt reference: INV011228.,2026-08-03T12:22:59.834Z
2025-01-27,Big Alz Moving n Handyman Service LLC,6510.53,6510.53,0.00,14,Repairs,Westmill,repair,operating,,,No,Owner,"Receipt reference: INV011230. Invoice INV011230 itemises $6,255 of painting plus small materials. A repaint between tenants is normally a current repair.",2026-08-03T12:22:59.834Z
2025-01-31,The Home Depot,15.25,15.25,0.00,15,Supplies,Westmill,repair,operating,,,No,Owner,Receipt reference: card.,2026-08-03T12:22:59.834Z
2025-02-04,City of Charlotte,54.04,54.04,0.00,17,Utilities,Westmill,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
2025-02-04,Piedmont Gas,126.67,126.67,0.00,17,Utilities,Westmill,repair,operating,,,No,Owner,,2026-08-03T12:22:59.834Z
