Date,Property,Amount,Source,Notes,Recorded at
2025-05-06,Arbordale way,1860.00,direct from tenant,Rent. tenant 1,2026-08-03T12:22:59.834Z
2025-06-05,Arbordale way,1860.00,direct from tenant,Rent. tenant 1,2026-08-03T12:22:59.834Z
2025-06-30,Arbordale way,496.00,other,One-time. tenant 1,2026-08-03T12:22:59.834Z
2025-07-02,Arbordale way,1197.00,direct from tenant,"Move-in. tenant 2 prorated first month (20.7 days at $1,795)",2026-08-03T12:22:59.834Z
2025-08-06,Arbordale way,1645.00,direct from tenant,"Rent. tenant 2 - $150 short of $1,795",2026-08-03T12:22:59.834Z
2025-09-08,Arbordale way,1645.00,direct from tenant,Rent. tenant 2,2026-08-03T12:22:59.834Z
2025-09-15,Arbordale way,150.00,direct from tenant,One-time. balance of September rent,2026-08-03T12:22:59.834Z
2025-10-06,Arbordale way,1645.00,direct from tenant,Rent. tenant 2,2026-08-03T12:22:59.834Z
2025-10-14,Arbordale way,150.00,direct from tenant,One-time. balance of October rent,2026-08-03T12:22:59.834Z
2025-11-06,Arbordale way,1795.00,direct from tenant,Rent. tenant 2,2026-08-03T12:22:59.834Z
2025-12-05,Arbordale way,1795.00,direct from tenant,Rent. tenant 2,2026-08-03T12:22:59.834Z
2025-12-31,Kettlewell,25400.00,property manager,Year total disbursed by JKN Realty across 12 months. The monthly detail is on their statement; this is what reached the bank.,2026-08-03T12:22:59.834Z
2025-12-31,Westmill,26489.00,property manager,Year total disbursed by JKN Realty across 12 months. The monthly detail is on their statement; this is what reached the bank.,2026-08-03T12:22:59.834Z
