Paid date,Amount,Status,Vendor,Invoice date,Invoice total,Schedule E line,Property,Job,Method,Reference,Notes
2025-01-01,89.10,Paid,Sulekha Roommates,2025-01-01,89.10,5,Kettlewell,,,,
2025-01-06,430.00,Paid,Cleaning services,2025-01-06,430.00,7,Westmill,,,,
2025-01-15,988.95,Paid,Sherwin-Williams,2025-01-15,988.95,19,Westmill,,,,
2025-01-19,158.94,Paid,Amazon.com,2025-01-19,158.94,15,Westmill,,,,
2025-01-19,185.11,Paid,Amazon.com,2025-01-19,185.11,15,Westmill,,,,
2025-01-21,740.00,Paid,Big Alz Moving n Handyman Service LLC,2025-01-21,740.00,14,Kettlewell,,,,
2025-01-27,6510.53,Paid,Big Alz Moving n Handyman Service LLC,2025-01-27,6510.53,14,Westmill,,,,
2025-01-31,15.25,Paid,The Home Depot,2025-01-31,15.25,15,Westmill,,,,
2025-02-04,126.67,Paid,Piedmont Gas,2025-02-04,126.67,17,Westmill,,,,
2025-02-04,54.04,Paid,City of Charlotte,2025-02-04,54.04,17,Westmill,,,,
2025-02-09,300.00,Paid,Big Alz Moving n Handyman Service LLC,2025-02-09,300.00,14,Arbordale way,,,,
2025-02-09,1.34,Paid,Family Dollar,2025-02-09,1.34,15,Arbordale way,,,,
2025-02-09,400.00,Paid,Big Alz Moving n Handyman Service LLC,2025-02-09,400.00,14,Kettlewell,,,,
2025-02-09,300.00,Paid,Big Alz Moving n Handyman Service LLC,2025-02-09,300.00,14,Westmill,,,,
2025-02-15,31.39,Paid,The Home Depot,2025-02-15,31.39,15,Arbordale way,,,,
2025-02-19,78.17,Paid,Charlotte Water,2025-02-19,78.17,17,Kettlewell,,,,
2025-02-20,29.99,Paid,Zillow,2025-02-20,29.99,5,Arbordale way,,,,
2025-02-22,106.40,Paid,Lowe's home centers,2025-02-22,106.40,15,Westmill,,,,
2025-02-23,1154.00,Paid,Big Alz Moving n Handyman Service LLC,2025-02-23,1154.00,19,Arbordale way,,,,
2025-02-26,32.40,Paid,Walmart,2025-02-26,32.40,15,Westmill,,,,
2025-03-07,10.95,Paid,FedEx,2025-03-07,10.95,19,Creedmore ct,,,,
2025-03-07,10.00,Paid,FedEx,2025-03-07,10.00,19,Creedmore ct,,,,
2025-03-10,2.49,Paid,"AppFolio, Inc. F WEB PMTS 031025 MJRWZ4 Amit Gandhi",2025-03-10,2.49,19,Kettlewell,,,,
2025-03-20,199.00,Paid,Groupon Realtor course,2025-03-20,199.00,19,Arbordale way,,,,
2025-04-17,350.00,Paid,MEULSTEE MAUD (first tenant),2025-04-17,350.00,19,Arbordale way,,,,
2025-04-19,54.44,Paid,Lowe's home centers,2025-04-19,54.44,15,Arbordale way,,,,
2025-04-22,99.58,Paid,Comfort Suites Pineville - Ballantyne Area,2025-04-22,99.58,19,Kettlewell,,,,
2025-04-23,150.21,Paid,The Home Depot,2025-04-23,150.21,15,Westmill,,,,
2025-04-28,480.00,Paid,Facebook - Used Refrigerator purchased (main),2025-04-28,480.00,19,Westmill,,,,
2025-04-28,450.00,Paid,Spartan movers,2025-04-28,450.00,19,Westmill,,,,
2025-04-29,1550.00,Paid,Facebook - Fixture/furniture/light/fan/etc,2025-04-29,1550.00,19,Arbordale way,,,,
2025-05-01,95.00,Paid,Formula Air,2025-05-01,95.00,14,Arbordale way,,,,
2025-05-03,34.63,Paid,Lowe's home centers,2025-05-03,34.63,15,Arbordale way,,,,
2025-05-05,140.00,Paid,Facebook - Used Refrigerator purchased moving,2025-05-05,140.00,19,Westmill,,,,
2025-05-05,350.00,Paid,Facebook - Used Refrigerator purchased (garage),2025-05-05,350.00,19,Westmill,,,,
2025-05-10,115.39,Paid,Lowe's home centers,2025-05-10,115.39,15,Arbordale way,,,,
2025-05-19,350.00,Paid,Spartan movers,2025-05-19,350.00,19,Arbordale way,,,,
2025-05-19,1000.00,Paid,Facebook - Fixture/furniture/light/fan/etc,2025-05-19,1000.00,19,Arbordale way,,,,
2025-05-20,6500.00,Paid,Facebook - Fixture/furniture/light/fan/etc,2025-05-20,6500.00,19,Arbordale way,,,,
2025-05-26,29.99,Paid,Zillow,2025-05-26,29.99,5,Westmill,,,,
2025-05-28,65.00,Paid,Number1Garage.com,2025-05-28,65.00,14,Westmill,,,,
2025-06-01,21.41,Paid,Lowe's home centers,2025-06-01,21.41,15,Westmill,,,,
2025-06-25,101.89,Paid,Precision Door Service Invoice,2025-06-25,101.89,14,Westmill,,,,
2025-07-15,45.00,Paid,Arthur Simrel,2025-07-15,45.00,14,Kettlewell,,,,
2025-07-16,766.84,Paid,GFHGDD LLC dba,2025-07-16,766.84,14,Westmill,,,,
2025-07-18,3.00,Paid,Wells fargo,2025-07-18,3.00,19,Arbordale way,,,,
2025-07-21,11.00,Paid,USPS,2025-07-21,11.00,19,Arbordale way,,,,
2025-10-05,147.83,Paid,Lowe's home centers,2025-10-05,147.83,15,Kettlewell,,,,
2025-10-16,20.00,Paid,UPS,2025-10-16,20.00,19,Creedmore ct,,,,
2025-11-18,127.61,Paid,The Home Depot,2025-11-18,127.61,15,Creedmore ct,,,,
2025-11-18,32.05,Paid,Lowe's home centers,2025-11-18,32.05,15,Creedmore ct,,,,
2025-11-26,6959.53,Paid,The Home Depot,2025-11-26,6959.53,19,Creedmore ct,,,,
2025-11-28,2500.00,Paid,Big Alz Moving n Handyman Service LLC,2025-11-28,8244.00,19,Creedmore ct,,,,"INV011307. Invoice total 8244; 2500 paid in 2025, balance 5744 carried into 2026. The ledger only ever recorded the payment, so the invoice total was invisible in it. The workbook's 2026 figure of 5750 overstates the balance by 6 against the invoice; the invoice wins."
2025-11-30,925.57,Paid,CELLAXS ELECTRONICS,2025-11-30,925.57,19,Arbordale way,,,,
2025-12-02,39.99,Paid,Zillow,2025-12-02,39.99,5,Creedmore ct,,,,
2025-12-05,102.47,Paid,A&S cleaning LLC,2025-12-05,102.47,7,Creedmore ct,,,,
2025-12-07,2164.47,Paid,Sherwin-Williams,2025-12-07,2164.47,19,Creedmore ct,,,,
2025-12-14,179.38,Paid,Sherwin-Williams,2025-12-14,179.38,15,Arbordale way,,,,
2025-12-15,180.00,Paid,Cleaning services,2025-12-15,180.00,7,Creedmore ct,,,,
2025-12-24,470.00,Paid,FREEDOM*MORTGAGE*FEES,2025-12-24,470.00,19,Arbordale way,,,,
2025-12-31,15.00,Paid,HOA,2025-12-31,15.00,19,Westmill,,,,
2025-12-31,800.00,Paid,Facebook - Used Washer/dryer purchased,2025-12-31,800.00,19,Arbordale way,,,,
2025-12-31,900.00,Paid,"lawn mower, shrubs, etc",2025-12-31,900.00,7,Westmill,,,,
2025-12-31,23.88,Paid,Google storage expense,2025-12-31,23.88,19,Split,,,,
2025-12-31,600.00,Paid,HOA - Westmill,2025-12-31,600.00,19,Westmill,,,,
2025-12-31,1800.00,Paid,HOA - Kettlewell ln,2025-12-31,1800.00,19,Kettlewell,,,,
2025-12-31,276.99,Paid,HOA - Arbordale,2025-12-31,276.99,19,Arbordale way,,,,
2025-12-31,60.27,Paid,HOA - Creedmore,2025-12-31,60.27,19,Creedmore ct,,,,
2025-12-31,568.47,Paid,Mileage - operating,2025-12-31,568.47,19,Arbordale way,,,,
