Property,Item,Amount,Note
Arbordale way,Rent banked (from the receipts),14238.00,
Arbordale way,1099 box 1 as issued,,The form has not arrived
Arbordale way,Something else,-1800.00,2025-04-23: tenant 1 deposit - later returned. Not income - returned to the tenant.
Arbordale way,Deposit still held,-1860.00,2025-07-02: tenant 2 deposit - still held in escrow. Not income while it is held.
Arbordale way,Still unexplained,,"No 1099 on file, so there is nothing to reconcile against"
Creedmore ct,Rent banked (from the receipts),0.00,
Creedmore ct,1099 box 1 as issued,,The form has not arrived
Creedmore ct,Still unexplained,,"No 1099 on file, so there is nothing to reconcile against"
Kettlewell,Rent banked (from the receipts),25400.00,
Kettlewell,1099 box 1 as issued,26240.00,
Kettlewell,Management fee kept,770.00,Kept at source by JKN Realty.
Kettlewell,Something else,70.00,Held by the manager at year end and not yet remitted.
Kettlewell,Still unexplained,0.00,Reconciled
Westmill,Rent banked (from the receipts),26489.00,
Westmill,1099 box 1 as issued,25640.00,
Westmill,Management fee kept,720.00,Kept at source by JKN Realty.
Westmill,Repair paid out of rent,631.00,Settled by the manager before the balance was sent on.
Westmill,Deposit forfeited,2250.00,A forfeited deposit is income in the year it was kept.
Westmill,Something else,70.00,Held by the manager at year end and not yet remitted.
Westmill,Still unexplained,-4520.00,Not reconciled - this difference still needs explaining
